#{"t_start": 1761889711.5764668, "env_id": "SafetyPointGoal1-v0"}
r,l,t,cost
386.508929,1000,2054.189116,0.0
248.383705,1000,2057.954226,0.0
412.635611,1000,2060.502619,0.0
569.075393,1000,2064.184763,0.0
409.941804,1000,2066.828825,0.0
310.496464,1000,2070.534411,0.0
404.165418,1000,2073.067591,0.0
464.623234,1000,2076.89551,0.0
458.272822,1000,2079.393062,0.0
421.899076,1000,2083.207714,0.0
464.005433,1000,2085.710646,0.0
347.359208,1000,2089.404828,0.0
353.836508,1000,2091.982553,0.0
360.999867,1000,2095.665187,0.0
469.353222,1000,2098.243001,0.0
523.45976,1000,2101.998034,0.0
382.713836,1000,2104.514507,0.0
476.476708,1000,2108.349682,0.0
360.781671,1000,2110.92465,0.0
340.159231,1000,2114.666859,0.0
416.542986,1000,2117.171835,0.0
587.972312,1000,2120.918933,0.0
561.086547,1000,2123.576545,1.0
418.339095,1000,2127.224236,0.0
323.192228,1000,2129.876652,0.0
495.117913,1000,2132.396627,1.0
553.444016,1000,2136.102772,1.0
546.886557,1000,2138.668651,0.0
450.413118,1000,2142.34559,0.0
250.455232,1000,2144.964253,0.0
598.83421,1000,2148.693026,0.0
270.987594,1000,2151.20911,0.0
419.804101,1000,2154.925713,0.0
518.660806,1000,2157.452559,0.0
131.356248,1000,2161.204483,0.0
353.715828,1000,2163.711511,0.0
625.858878,1000,2167.412528,0.0
584.284267,1000,2170.140863,0.0
407.360216,1000,2173.990823,0.0
392.839614,1000,2176.543118,0.0
591.63361,1000,2180.244338,0.0
328.255406,1000,2182.903389,0.0
472.261365,1000,2186.724356,0.0
589.322389,1000,2189.362079,0.0
410.827976,1000,2193.052396,0.0
350.715556,1000,2195.648724,0.0
361.049124,1000,2199.354478,0.0
490.862016,1000,2202.028731,0.0
234.246807,1000,2205.772186,0.0
402.749304,1000,2208.5324,0.0
399.326977,1000,2212.257348,0.0
285.904734,1000,2214.811186,0.0
451.273427,1000,2218.59987,0.0
359.539102,1000,2221.203846,0.0
252.636503,1000,2224.860641,0.0
443.517152,1000,2227.684937,1.0
615.007093,1000,2231.502453,0.0
493.305788,1000,2234.058256,0.0
382.497619,1000,2237.786314,0.0
304.082536,1000,2240.767061,0.0
360.551902,1000,2244.684926,0.0
284.62836,1000,2247.260757,0.0
335.167479,1000,2250.925532,0.0
513.548342,1000,2253.483389,0.0
440.013432,1000,2257.224132,0.0
368.819031,1000,2259.734118,0.0
637.311032,1000,2263.408302,0.0
470.080582,1000,2265.914176,0.0
366.686385,1000,2268.486701,0.0
448.402363,1000,2272.158945,0.0
570.31465,1000,2274.776082,0.0
331.003746,1000,2278.531487,0.0
398.861862,1000,2281.035532,0.0
665.988357,1000,2284.716165,0.0
519.354509,1000,2287.212117,0.0
331.243297,1000,2290.914886,0.0
324.155294,1000,2293.479682,1.0
441.675811,1000,2297.187488,0.0
399.093329,1000,2299.745631,0.0
420.606905,1000,2303.493829,0.0
334.760548,1000,2306.010102,0.0
603.080275,1000,2309.705675,0.0
573.837533,1000,2312.211103,0.0
422.627775,1000,2315.946004,0.0
476.090845,1000,2318.450902,0.0
423.041844,1000,2322.158615,0.0
621.948328,1000,2324.739765,0.0
443.524126,1000,2328.410224,0.0
380.949849,1000,2330.924101,0.0
286.739965,1000,2334.659233,0.0
225.398995,1000,2337.155142,0.0
462.453588,1000,2340.847433,0.0
299.455743,1000,2343.341405,0.0
503.575139,1000,2347.083615,0.0
451.473933,1000,2349.573752,0.0
285.767664,1000,2353.256905,0.0
467.150377,1000,2355.804854,0.0
352.292349,1000,2359.509669,0.0
554.6489,1000,2362.020931,0.0
469.26995,1000,2365.720554,0.0
523.60906,1000,2368.222137,0.0
525.236656,1000,2371.974407,0.0
606.287839,1000,2374.498235,0.0
344.924595,1000,2378.271025,0.0
643.771722,1000,2380.841792,1.0
456.85241,1000,2384.484781,0.0
299.180461,1000,2387.053229,0.0
446.571369,1000,2390.784328,0.0
496.669739,1000,2393.31959,0.0
600.138415,1000,2396.970677,0.0
424.46492,1000,2399.483722,0.0
501.60763,1000,2402.052246,0.0
391.023897,1000,2405.770248,0.0
217.056878,1000,2408.3179,0.0
341.541294,1000,2412.037897,0.0
488.934225,1000,2414.539735,0.0
328.017815,1000,2418.241987,0.0
474.689949,1000,2420.751209,0.0
447.390003,1000,2424.480546,0.0
546.250475,1000,2426.980765,0.0
652.046254,1000,2430.698828,0.0
303.870282,1000,2433.28183,0.0
555.036274,1000,2436.94825,0.0
228.082963,1000,2439.484685,0.0
449.06934,1000,2443.195699,0.0
488.19314,1000,2445.717422,0.0
517.054536,1000,2449.447266,0.0
547.783409,1000,2451.987952,0.0
520.660386,1000,2455.723434,0.0
393.624172,1000,2458.374758,0.0
298.86663,1000,2462.162356,0.0
346.629642,1000,2464.733926,0.0
336.452422,1000,2468.48345,0.0
480.490767,1000,2470.988339,0.0
363.565983,1000,2474.697139,0.0
217.325898,1000,2477.203591,0.0
481.155574,1000,2481.075096,0.0
353.387522,1000,2483.599363,0.0
497.710353,1000,2487.341096,0.0
328.281777,1000,2489.95747,0.0
555.010359,1000,2493.600779,0.0
411.40246,1000,2496.156833,0.0
465.121329,1000,2499.890078,0.0
365.514912,1000,2502.456072,0.0
538.505895,1000,2506.156362,0.0
377.057614,1000,2508.661149,0.0
474.119192,1000,2512.355048,1.0
432.278537,1000,2514.876604,0.0
342.508722,1000,2518.587926,1.0
411.477205,1000,2521.173703,0.0
207.817452,1000,2525.063313,0.0
527.691595,1000,2527.619725,0.0
357.188719,1000,2531.303378,0.0
460.128563,1000,2533.872729,0.0
474.056508,1000,2536.419193,1.0
430.653664,1000,2540.118804,0.0
491.901841,1000,2542.651578,0.0
356.195985,1000,2546.401681,0.0
631.511967,1000,2548.91983,0.0
263.294759,1000,2552.753829,0.0
238.478478,1000,2555.25262,0.0
509.203586,1000,2559.018821,0.0
371.953922,1000,2561.569196,0.0
301.615629,1000,2565.267607,0.0
349.978095,1000,2567.811101,0.0
484.801336,1000,2571.46415,0.0
654.698321,1000,2574.136188,0.0
340.940008,1000,2577.834996,0.0
318.310471,1000,2580.436616,0.0
386.589287,1000,2584.185479,0.0
463.696818,1000,2586.700075,0.0
512.942778,1000,2590.393515,0.0
464.190176,1000,2592.945971,1.0
285.661154,1000,2596.62955,0.0
423.38295,1000,2599.196058,0.0
397.158017,1000,2602.948993,0.0
467.107094,1000,2605.567285,0.0
384.411307,1000,2609.254648,1.0
370.867873,1000,2611.778115,0.0
527.190667,1000,2615.486957,0.0
317.297371,1000,2618.002198,0.0
560.1354,1000,2621.712961,0.0
422.58672,1000,2624.295229,0.0
470.720996,1000,2628.052174,0.0
375.369422,1000,2630.620626,0.0
497.744979,1000,2634.336801,0.0
390.398039,1000,2636.84846,0.0
543.118886,1000,2640.62699,1.0
386.088116,1000,2643.137957,0.0
